Address_Label,Addr1,Addr2,Addr3,AddressLabel,City,CompanyName,CountryCode,Email,Name,Phone,PostalCode,State,Type,SourceUniqueId,Classification,IntegrationId,ObjectState
Center for Advanced Healthcare at Brownwood,2955 Brownwood Boulevard,Suite 403,,Brownwood Center for Adv Health,The Villages,Center for Advanced Healthcare at Brownwood,US,,The Villages Health,844-884-9355,32163,FL,2,,2,,Unchanged
Lake Deaton Care Center ,779 Kristine Way ,,,Lake Deaton Care Center,The Villages,Lake Deaton Care Center ,US,,The Villages Health,844-884-9355,32163,FL,2,,2,,Unchanged
Colony Care Center,280 Farner Place,,,Colony Care Center,The Villages,Colony Care Center,US,,The Villages Health,844-884-9355,32163,FL,2,,2,,Unchanged
Creekside Care Center,1050 Old Camp Road,Building 100,,Creekside Care Center,The Villages,Creekside Care Center,US,,The Villages Health,844-884-9355,32162,FL,2,,2,,Unchanged
Eastport Care Center,1346 Dewey Drive,,,Eastport Care Center,The Villages,Eastport Care Center,US,,The Villages Health,844-884-9355,34762,FL,2,,2,,Unchanged
Santa Barbara Care Center,1575 Santa Barbara Boulevard,,,Santa Barbara Care Center,The Villages,Santa Barbara Care Center,US,,The Villages Health,844-884-9355,32159,FL,2,,2,,Unchanged
Brownwood Primary Care Center,2910 Brownwood Boulevard,,,Brownwood Care Center,The Villages,Brownwood Primary Care Center,US,,The Villages Health,844-884-9355,32163,FL,2,,2,,Unchanged
Mulberry Grove Care Center,8877 SE 165 Mulberry Lane,,,Mulberry Grove Care Center,The Villages,Mulberry Grove Care Center,US,,The Villages Health,844-884-9355,32162,FL,2,,2,,Unchanged
Pinellas Care Center,2485 Pinellas Place,,,Pinellas Care Center,The Villages,Pinellas Care Center,US,,The Villages Health,844-884-9355,32163,,2,,2,,Unchanged
Specialty Care at Spanish Springs,1400 US-441,#810,,Specialty Care at Spanish Springs,The Villages,Specialty Care at Spanish Springs,US,,The Villages Health,844-884-9355,32159,FL,2,,2,,Unchanged
